index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
205,31656,38.21893,46.59847,52.16781,27.43792,-0.4525,2.2709,9.82102,0.00986,0.07741,0.03238
206,31807,38.21893,46.59847,52.16781,27.43792,-0.4549,2.2709,9.76834,0.00666,0.08021,0.03158
207,31961,38.21893,46.59847,52.16781,27.43792,-0.42856,2.25414,9.77074,0.00839,0.07941,0.03251
208,32112,38.21893,46.59847,52.16781,27.48901,-0.44891,2.29604,9.72405,0.00919,0.07927,0.03331
209,32263,38.21893,46.59847,52.16781,27.48901,-0.39025,2.2709,9.7444,0.01039,0.07861,0.03304
210,32414,38.21893,46.59847,52.16781,27.43792,-0.40941,2.28407,9.76236,0.00879,0.07781,0.03277
211,32573,38.21893,46.59847,52.16781,27.38682,-0.40342,2.28646,9.77313,0.00746,0.07901,0.03291
212,32726,38.21893,46.59847,52.16781,27.43792,-0.4142,2.29724,9.75877,0.00986,0.07981,0.03411
213,32877,38.21893,46.59847,52.11671,27.43792,-0.4549,2.27329,9.78271,0.00866,0.07914,0.03384
214,33028,38.21893,46.59847,52.21891,27.43792,-0.43694,2.27329,9.73961,0.00733,0.08154,0.03264
215,33179,38.21893,46.59847,52.16781,27.48901,-0.49321,2.27569,9.74201,0.00839,0.07781,0.03264
216,33332,38.21893,46.59847,52.16781,27.43792,-0.42258,2.27569,9.77912,0.00946,0.07901,0.03344
217,33483,38.21893,46.59847,52.16781,27.43792,-0.48363,2.26372,9.76595,0.00733,0.08021,0.03277
218,33634,38.21893,46.59847,52.16781,27.43792,-0.42377,2.32238,9.76116,0.01119,0.07727,0.03304
219,33785,38.21893,46.59847,52.16781,27.43792,-0.47046,2.28287,9.77074,0.00879,0.07901,0.03277
220,33936,38.21893,46.59847,52.16781,27.43792,-0.42258,2.28407,9.73243,0.00759,0.07941,0.03437
221,34090,38.21893,46.59847,52.16781,27.43792,-0.44293,2.26851,9.7025,0.00986,0.08021,0.03051
